prompt,theme,type,shortdesc
cara bermain rugby tanpa kontak fisik,olahraga,outdoor,bermain rugby tanpa kontak fisik sebagai variasi untuk menghindari cedera selama permainan.
cara bermain bowling dengan teknik penuh putaran,olahraga,indoor,bermain bowling dengan teknik penuh putaran untuk meningkatkan keakuratan dan perolehan poin.
cara bermain baseball dengan bat tangan kiri,olahraga,outdoor,bermain baseball dengan menggunakan bat tangan kiri sebagai tantangan tambahan dalam permainan.
cara bermain sepak bola untuk anak-anak dengan disabilitas,olahraga,outdoor,bermain sepak bola untuk anak-anak dengan disabilitas dengan memodifikasi aturan dan peralatan.
cara bermain tenis dengan teknik pukulan unik,olahraga,outdoor,bermain tenis dengan teknik pukulan unik untuk menambah variasi dalam permainan.
cara bermain hoki es dengan teknik bermain hati-hati,olahraga,outdoor,bermain hoki es dengan teknik bermain hati-hati untuk meminimalkan risiko cedera.
cara bermain panjat tebing untuk pemula,olahraga,outdoor,bermain panjat tebing untuk pemula dengan fokus pada teknik dasar dan keamanan.
cara bermain sepak bola pantai tanpa menggunakan tangan,olahraga,outdoor,bermain sepak bola pantai tanpa menggunakan tangan sebagai tantangan tambahan.
cara bermain kriket dalam format T10,olahraga,outdoor,bermain kriket dalam format T10 sebagai permainan singkat dan intensif.
cara bermain sepak takraw dengan tiga pemain,olahraga,outdoor,bermain sepak takraw dengan tiga pemain untuk menciptakan dinamika permainan yang berbeda.
cara bermain golf di lapangan dengan medan sulit,olahraga,outdoor,bermain golf di lapangan dengan medan sulit untuk meningkatkan tantangan permainan.
cara bermain baseball dalam kondisi cuaca buruk,olahraga,outdoor,bermain baseball dalam kondisi cuaca buruk sebagai simulasi tantangan ekstrem.
cara bermain rugby dengan aturan modifikasi,olahraga,outdoor,bermain rugby dengan aturan modifikasi untuk memfasilitasi partisipasi semua pemain.
cara bermain sepak bola dengan aturan sepak terbang,olahraga,outdoor,bermain sepak bola dengan aturan sepak terbang sebagai variasi permainan.
cara bermain bowling dengan bola yang beratnya bervariasi,olahraga,indoor,bermain bowling dengan bola yang beratnya bervariasi untuk tantangan ekstra.
cara bermain baseball menggunakan bola bisbol berat,olahraga,outdoor,bermain baseball menggunakan bola bisbol berat untuk melatih kekuatan dan akurasi pukulan.
cara bermain sepak bola dengan bola yang berpendar,olahraga,outdoor,bermain sepak bola dengan bola yang berpendar untuk permainan malam yang seru.
cara merawat mobil listrik secara efektif,otomotif,indoor,merawat mobil listrik secara efektif untuk memaksimalkan kinerja dan masa pakai baterai.
cara memilih ban mobil yang sesuai,otomotif,outdoor,memilih ban mobil yang sesuai dengan kebutuhan dan kondisi berkendara.
cara mengatur posisi duduk yang ergonomis saat berkendara,otomotif,indoor,mengatur posisi duduk yang ergonomis saat berkendara untuk kenyamanan dan keamanan.
cara merawat cat mobil agar tetap mengkilap,otomotif,outdoor,merawat cat mobil agar tetap mengkilap dengan teknik pembersihan dan perawatan yang tepat.
cara melakukan perawatan dasar mesin mobil,otomotif,indoor,melakukan perawatan dasar mesin mobil untuk menjaga performa dan efisiensi.
cara memilih oli mesin yang sesuai,otomotif,indoor,memilih oli mesin yang sesuai dengan spesifikasi mobil dan kondisi penggunaan.
cara mengemudi mobil dengan transmisi manual,otomotif,outdoor,mengemudi mobil dengan transmisi manual dengan teknik yang benar dan efisien.
cara melakukan perawatan AC mobil,otomotif,indoor,melakukan perawatan AC mobil untuk menjaga kinerja dan kenyamanan dalam berkendara.
cara mengganti lampu mobil sendiri,otomotif,outdoor,mengganti lampu mobil sendiri dengan langkah-langkah yang mudah dan aman.
cara memilih audio sistem mobil yang baik,otomotif,indoor,memilih audio sistem mobil yang baik dengan memperhatikan kualitas suara dan fitur tambahan.
cara merawat kaki-kaki mobil dengan baik,otomotif,outdoor,merawat kaki-kaki mobil dengan baik untuk menjaga stabilitas dan keamanan berkendara.
cara memilih mobil bekas berkualitas,otomotif,indoor,"memilih mobil bekas berkualitas dengan memperhatikan kondisi mesin, bodi, dan riwayat perawatan."
cara mengatasi ban kempes di jalan,otomotif,outdoor,mengatasi ban kempes di jalan dengan langkah-langkah darurat dan peralatan yang diperlukan.
cara melakukan perawatan kelistrikan mobil,otomotif,indoor,melakukan perawatan kelistrikan mobil untuk menghindari masalah listrik yang tidak diinginkan.
cara memilih rem mobil yang aman dan efisien,otomotif,outdoor,memilih rem mobil yang aman dan efisien dengan memperhatikan jenis dan kualitas material.
cara mengatasi mobil yang mogok di tengah jalan,otomotif,outdoor,mengatasi mobil yang mogok di tengah jalan dengan langkah-langkah darurat dan pengecekan sederhana.
cara memasang dan merawat wiper mobil,otomotif,outdoor,memasang dan merawat wiper mobil untuk menjaga visibilitas saat berkendara dalam kondisi hujan.
cara mengganti busi mobil secara mandiri,otomotif,outdoor,mengganti busi mobil secara mandiri dengan langkah-langkah yang tepat dan alat yang diperlukan.
cara melakukan perawatan sistem suspensi mobil,otomotif,outdoor,melakukan perawatan sistem suspensi mobil untuk menjaga kenyamanan dan stabilitas.
cara memilih bahan bakar yang sesuai untuk mobil,otomotif,indoor,memilih bahan bakar yang sesuai untuk mobil dengan mempertimbangkan jenis mesin dan spesifikasi pabrikan.
cara membersihkan dan merawat interior mobil,otomotif,indoor,membersihkan dan merawat interior mobil untuk kenyamanan dan keindahan.
cara mengatasi mesin mobil yang overheat,otomotif,outdoor,mengatasi mesin mobil yang overheat dengan langkah-langkah darurat dan pencegahan.
cara memilih cover mobil yang tepat,otomotif,indoor,memilih cover mobil yang tepat untuk melindungi mobil dari cuaca dan debu.
cara melakukan perawatan sistem kelistrikan AC mobil,otomotif,indoor,melakukan perawatan sistem kelistrikan AC mobil untuk menjaga kinerja dan daya tahan.
cara memilih velg mobil yang sesuai,otomotif,outdoor,memilih velg mobil yang sesuai dengan gaya dan kebutuhan berkendara.
cara merawat rem cakram mobil,otomotif,indoor,merawat rem cakram mobil untuk menjaga kinerja pengereman yang optimal.
cara mengganti kampas rem mobil,otomotif,outdoor,mengganti kampas rem mobil dengan langkah-langkah yang tepat untuk keamanan berkendara.
cara memilih oli rem yang berkualitas,otomotif,indoor,memilih oli rem yang berkualitas untuk menjaga keandalan sistem pengereman.
cara mengatasi masalah mesin mobil yang tidak mau hidup,otomotif,outdoor,mengatasi masalah mesin mobil yang tidak mau hidup dengan langkah-langkah pemecahan masalah.
cara memilih jarak ban mobil yang tepat,otomotif,outdoor,memilih jarak ban mobil yang tepat untuk meningkatkan kenyamanan dan performa kendaraan.
cara melakukan balancing roda mobil,otomotif,outdoor,melakukan balancing roda mobil untuk menghindari getaran dan ketidaknyamanan saat berkendara.
cara memeriksa dan mengganti filter udara mobil,otomotif,indoor,memeriksa dan mengganti filter udara mobil sebagai bagian dari perawatan rutin.
cara melakukan perawatan rutin sistem transmisi,otomotif,indoor,melakukan perawatan rutin pada sistem transmisi mobil untuk menjaga performa dan umur pakai.
cara memilih sistem suspensi yang sesuai,otomotif,indoor,memilih sistem suspensi yang sesuai dengan gaya berkendara dan kondisi jalan.
cara memeriksa dan mengganti kampas kopling mobil,otomotif,outdoor,memeriksa dan mengganti kampas kopling mobil untuk menjaga kinerja kopling.
cara memilih knalpot mobil yang berkualitas,otomotif,indoor,memilih knalpot mobil yang berkualitas untuk meningkatkan performa dan estetika kendaraan.
cara merawat dan membersihkan interior kabin mobil,otomotif,indoor,merawat dan membersihkan interior kabin mobil untuk kenyamanan dan kebersihan.
cara mengatasi mesin mobil yang sering mati,otomotif,outdoor,mengatasi masalah mesin mobil yang sering mati dengan langkah-langkah perbaikan sederhana.
cara mengganti wiper mobil dengan mudah,otomotif,outdoor,mengganti wiper mobil dengan mudah untuk menjaga visibilitas saat berkendara.
cara melakukan tune-up mesin mobil secara berkala,otomotif,indoor,melakukan tune-up mesin mobil secara berkala untuk menjaga performa optimal.
cara memilih dan merawat aki mobil,otomotif,indoor,memilih dan merawat aki mobil untuk mencegah masalah start-up.
cara mengecek sistem pengapian mobil,otomotif,indoor,mengecek sistem pengapian mobil untuk mengidentifikasi masalah dan meningkatkan efisiensi.
cara merawat kunci kontak mobil,otomotif,indoor,merawat kunci kontak mobil agar tetap berfungsi dengan baik.
cara memilih sistem navigasi untuk mobil,otomotif,indoor,memilih sistem navigasi yang cocok untuk mobil dengan fitur dan keakuratan yang diinginkan.
cara mengatasi mobil overheat di tengah perjalanan,otomotif,outdoor,mengatasi masalah mobil yang overheat di tengah perjalanan dengan solusi darurat.
cara mengganti kaca spion mobil dengan benar,otomotif,outdoor,mengganti kaca spion mobil dengan benar untuk keamanan dan kenyamanan berkendara.
cara merawat sistem injeksi bahan bakar mobil,otomotif,indoor,merawat sistem injeksi bahan bakar mobil untuk menjaga efisiensi dan performa mesin.
cara mengecek dan mengisi angin ban mobil,otomotif,outdoor,mengecek dan mengisi angin ban mobil dengan benar untuk menjaga tekanan yang sesuai.
cara memilih dan merawat kamera mundur mobil,otomotif,indoor,memilih dan merawat kamera mundur mobil sebagai fitur keamanan tambahan.
cara melakukan perawatan rutin pada transmisi otomatis,otomotif,indoor,melakukan perawatan rutin pada transmisi otomatis untuk mencegah kerusakan dan memperpanjang umur pakai.
